epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5548,1.89195,4.8145,1.83523,0,0,0,0,1.88293,4.47426,1.94276,5.239e-05,5.239e-05,5.239e-05
2,34.3481,1.78467,4.67213,1.71824,0.01961,0.00025,0.00993,0.00545,1.84669,4.39427,1.84037,0.000104362,0.000104362,0.000104362
3,49.7934,1.73786,4.33419,1.68541,0.05453,0.12861,0.06365,0.03557,1.95725,3.90013,1.94608,0.000154192,0.000154192,0.000154192
4,65.3209,1.73451,4.03439,1.67036,0.66597,0.04941,0.11166,0.05917,1.96977,3.45209,1.9547,0.000158961,0.000158961,0.000158961
5,80.6201,1.73071,3.76129,1.65377,0.57906,0.111,0.12902,0.06748,1.93816,3.15977,1.94843,0.000155615,0.000155615,0.000155615
6,96.0483,1.69362,3.5651,1.66386,0.62651,0.1226,0.14288,0.0731,1.96104,3.05005,1.98559,0.000152269,0.000152269,0.000152269
7,111.297,1.7177,3.35985,1.66487,0.52624,0.17365,0.18178,0.09266,1.95166,2.89546,1.97949,0.000148923,0.000148923,0.000148923
8,126.753,1.74594,3.30299,1.69635,0.47514,0.19334,0.18238,0.08976,1.98382,2.80544,1.99636,0.000145577,0.000145577,0.000145577
9,142.12,1.69437,3.09459,1.64621,0.56194,0.17753,0.18957,0.09446,2.00776,2.69673,2.03432,0.00014223,0.00014223,0.00014223
10,157.749,1.6824,3.0296,1.62667,0.57027,0.18731,0.20309,0.10281,1.96437,2.65185,1.97902,0.000138884,0.000138884,0.000138884
11,172.883,1.66128,2.94109,1.63426,0.55078,0.21685,0.22368,0.11471,1.92913,2.64116,1.97808,0.000135538,0.000135538,0.000135538
12,188.597,1.63997,2.83499,1.63169,0.54589,0.26111,0.23385,0.11254,1.95938,2.64389,2.00089,0.000132192,0.000132192,0.000132192
13,203.921,1.68612,2.76109,1.63852,0.51179,0.24459,0.24114,0.11709,1.9695,2.67236,2.00664,0.000128846,0.000128846,0.000128846
14,219.498,1.67466,2.73026,1.62897,0.53106,0.26604,0.25543,0.12228,1.94415,2.66435,2.01237,0.000125499,0.000125499,0.000125499
15,234.904,1.65337,2.63492,1.6253,0.47503,0.28454,0.28741,0.1386,1.93887,2.57742,1.99889,0.000122153,0.000122153,0.000122153
16,250.268,1.67393,2.60976,1.63401,0.4853,0.28337,0.28983,0.1394,1.95769,2.54741,2.0196,0.000118807,0.000118807,0.000118807
17,265.549,1.60578,2.56984,1.58958,0.44558,0.31875,0.28737,0.14288,1.97381,2.52929,2.03342,0.000115461,0.000115461,0.000115461
18,281.309,1.59978,2.57258,1.60326,0.50714,0.30299,0.2995,0.15006,1.94825,2.54741,2.03138,0.000112115,0.000112115,0.000112115
19,296.482,1.61702,2.51053,1.61925,0.4511,0.28891,0.31059,0.14682,1.966,2.46944,2.02809,0.000108768,0.000108768,0.000108768
20,311.933,1.58935,2.45348,1.57376,0.50895,0.30225,0.30334,0.14346,1.97557,2.426,2.02373,0.000105422,0.000105422,0.000105422
21,327.366,1.59523,2.38594,1.59474,0.48776,0.30302,0.29773,0.14502,1.97051,2.42379,2.01472,0.000102076,0.000102076,0.000102076
22,342.432,1.58817,2.36934,1.5732,0.48216,0.34007,0.31841,0.15161,1.9493,2.43679,2.00626,9.87298e-05,9.87298e-05,9.87298e-05
23,359.004,1.59983,2.33981,1.57143,0.47801,0.30986,0.31905,0.15964,1.93942,2.40719,1.97992,9.53836e-05,9.53836e-05,9.53836e-05
24,373.515,1.54947,2.30337,1.55605,0.46659,0.37572,0.3461,0.16204,1.96366,2.46054,2.01124,9.20374e-05,9.20374e-05,9.20374e-05
25,388.182,1.59277,2.29567,1.54897,0.51917,0.35944,0.34597,0.17008,1.93631,2.43959,1.99566,8.86912e-05,8.86912e-05,8.86912e-05
26,403.188,1.54492,2.22582,1.53942,0.5451,0.3332,0.35112,0.16815,1.94115,2.43591,2.0143,8.5345e-05,8.5345e-05,8.5345e-05
27,417.989,1.58489,2.25707,1.56726,0.51252,0.30685,0.33548,0.16432,1.98696,2.41384,2.05942,8.19988e-05,8.19988e-05,8.19988e-05
28,432.699,1.54898,2.18541,1.5363,0.46195,0.39179,0.34421,0.1727,1.96752,2.33144,2.03134,7.86526e-05,7.86526e-05,7.86526e-05
29,447.387,1.52096,2.17768,1.5262,0.44728,0.38044,0.3774,0.18198,1.96475,2.34143,2.03542,7.53064e-05,7.53064e-05,7.53064e-05
30,462.124,1.54698,2.14693,1.54439,0.4589,0.3826,0.37151,0.17861,1.97443,2.31939,2.04371,7.19602e-05,7.19602e-05,7.19602e-05
31,476.871,1.52341,2.14532,1.51758,0.54657,0.31686,0.3602,0.17346,1.95554,2.32237,2.01758,6.8614e-05,6.8614e-05,6.8614e-05
32,491.889,1.51064,2.0847,1.52332,0.46289,0.36562,0.35878,0.17671,1.96463,2.31037,2.0264,6.52678e-05,6.52678e-05,6.52678e-05
33,506.89,1.52602,2.06965,1.51381,0.45141,0.36752,0.34297,0.17392,1.95035,2.30255,2.01863,6.19216e-05,6.19216e-05,6.19216e-05
34,521.659,1.52366,2.05824,1.51466,0.53429,0.3596,0.35315,0.16926,1.96761,2.34161,2.0342,5.85754e-05,5.85754e-05,5.85754e-05
35,536.326,1.52034,2.06435,1.51246,0.51678,0.34036,0.36569,0.1736,1.96121,2.35156,2.04,5.52292e-05,5.52292e-05,5.52292e-05
36,550.754,1.52863,2.06957,1.51995,0.47997,0.36624,0.37395,0.18427,1.9564,2.32682,2.03167,5.1883e-05,5.1883e-05,5.1883e-05
37,565.067,1.47529,2.02237,1.49746,0.45446,0.37772,0.38722,0.19007,1.9553,2.28424,2.0342,4.85368e-05,4.85368e-05,4.85368e-05
38,578.874,1.47729,2.04974,1.50375,0.44902,0.3981,0.382,0.18695,1.95198,2.27598,2.02722,4.51906e-05,4.51906e-05,4.51906e-05
39,592.923,1.46264,2.02673,1.4867,0.49926,0.3818,0.38652,0.1858,1.96087,2.26895,2.03287,4.18444e-05,4.18444e-05,4.18444e-05
40,607.376,1.44419,1.97494,1.49525,0.44722,0.42552,0.38858,0.18676,1.95846,2.25487,2.03555,3.84982e-05,3.84982e-05,3.84982e-05
41,642.967,1.52721,2.08858,1.57924,0.50803,0.38829,0.39241,0.18572,1.95212,2.28116,2.03409,3.5152e-05,3.5152e-05,3.5152e-05
42,657.169,1.48633,1.99535,1.55838,0.47803,0.38477,0.37983,0.17859,1.9476,2.25965,2.01715,3.18058e-05,3.18058e-05,3.18058e-05
43,671.428,1.45089,1.99518,1.56475,0.49009,0.37279,0.38968,0.18508,1.95875,2.22829,2.01092,2.84596e-05,2.84596e-05,2.84596e-05
44,685.096,1.42868,1.90125,1.52681,0.54107,0.34717,0.39383,0.18823,1.94019,2.22226,2.00318,2.51134e-05,2.51134e-05,2.51134e-05
45,698.707,1.42401,1.92469,1.54473,0.51701,0.35681,0.39218,0.18702,1.93476,2.2262,2.00556,2.17672e-05,2.17672e-05,2.17672e-05
46,711.346,1.44024,1.93622,1.55934,0.5469,0.36379,0.3907,0.19078,1.93829,2.21517,2.00459,1.8421e-05,1.8421e-05,1.8421e-05
47,725.363,1.39612,1.88463,1.52791,0.55527,0.34197,0.39295,0.19005,1.93935,2.20963,2.00576,1.50748e-05,1.50748e-05,1.50748e-05
48,739.359,1.39591,1.91048,1.51641,0.53085,0.36162,0.39567,0.19064,1.94517,2.20602,2.01328,1.17286e-05,1.17286e-05,1.17286e-05
49,753.194,1.39597,1.89836,1.51537,0.47871,0.3711,0.39281,0.18889,1.95106,2.19911,2.0187,8.3824e-06,8.3824e-06,8.3824e-06
50,766.867,1.40566,1.84677,1.50555,0.43622,0.4098,0.39346,0.18734,1.95094,2.2032,2.02073,5.0362e-06,5.0362e-06,5.0362e-06
